Observations for Station 01415 starting 1105Z 21 Aug 2022, Latitude: 58.874 Longitude: 5.665

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  871.1   1223    5.2    0.6     72   4.60    219   10.4  289.6  303.0  290.4
  870.5   1228    5.2    0.6     72   4.59    219   10.4  289.6  303.0  290.4
  870.0   1233    5.2    0.5     72   4.57    219   10.4  289.6  302.9  290.4
  869.5   1238    5.1    0.4     71   4.53    220   10.4  289.6  302.8  290.4
  868.9   1243    5.1    0.3     71   4.49    220   10.4  289.7  302.8  290.5
  868.4   1248    5.1    0.2     70   4.47    220   10.4  289.7  302.8  290.5
  867.9   1252    5.1    0.2     70   4.47    220   10.4  289.8  302.8  290.5
  867.4   1257    5.1    0.2     71   4.48    220   10.4  289.8  302.9  290.6
  866.9   1262    5.1    0.2     71   4.48    220   10.4  289.8  302.9  290.6
  866.5   1266    5.0    0.2     71   4.49    220   10.4  289.8  302.9  290.6
  866.0   1271    5.0    0.2     71   4.50    221   10.3  289.8  302.9  290.6
  865.5   1275    4.9    0.3     72   4.51    221   10.3  289.8  303.0  290.6
  865.0   1280    4.9    0.3     72   4.51    221   10.3  289.8  303.0  290.6
  864.5   1285    4.9    0.3     72   4.52    221   10.2  289.8  303.0  290.6
  864.0   1290    4.8    0.3     72   4.52    222   10.2  289.9  303.0  290.6
  863.4   1295    4.8    0.2     72   4.50    222   10.2  289.9  303.0  290.7
  862.9   1299    4.8    0.2     72   4.49    222   10.1  289.9  303.0  290.7
  862.4   1304    4.8    0.1     72   4.48    223   10.1  289.9  303.0  290.7
  861.9   1309    4.8    0.1     72   4.47    223   10.0  290.0  303.0  290.7
  861.4   1314    4.7    0.1     72   4.48    223    9.9  290.0  303.0  290.7
  860.8   1319    4.6    0.1     72   4.47    224    9.9  289.9  303.0  290.7
  860.3   1324    4.6    0.1     72   4.47    224    9.8  289.9  303.0  290.7
  859.8   1329    4.5    0.1     73   4.49    224    9.8  289.9  303.0  290.7
  859.2   1334    4.5    0.1     73   4.50    224    9.7  289.9  303.1  290.7
  858.7   1339    4.4    0.1     73   4.48    225    9.7  289.9  303.0  290.7
  858.2   1344    4.4    0.1     73   4.48    225    9.7  290.0  303.1  290.7
  857.7   1349    4.4    0.1     74   4.49    225    9.6  290.0  303.1  290.8
  857.2   1354    4.4    0.1     74   4.49    225    9.6  290.0  303.1  290.8
  856.7   1359    4.3    0.0     74   4.48    225    9.6  290.0  303.1  290.8
  856.2   1363    4.3   -0.0     74   4.47    225    9.5  290.0  303.1  290.8
  855.7   1368    4.2   -0.0     74   4.46    225    9.5  290.0  303.0  290.8
  855.3   1372    4.2   -0.0     74   4.46    225    9.5  290.0  303.1  290.8
  854.8   1376    4.2   -0.0     74   4.47    225    9.5  290.0  303.1  290.8
  854.3   1381    4.1    0.0     74   4.48    225    9.5  290.0  303.1  290.8
  853.9   1386    4.1   -0.0     75   4.48    225    9.5  290.0  303.1  290.8
  853.4   1390    4.1   -0.1     74   4.46    225    9.5  290.0  303.1  290.8
  852.8   1395    4.0   -0.2     74   4.43    225    9.6  290.1  303.0  290.8
  852.3   1400    4.0   -0.3     74   4.41    224    9.6  290.1  303.0  290.8
  851.8   1405    3.9   -0.3     74   4.41    224    9.6  290.1  303.0  290.9
  851.3   1410    3.9   -0.2     75   4.43    224    9.6  290.1  303.0  290.9
